Date,Description,Credit,Debit,Balance,Amount
15/05/2021,DISNEY PLUS - Visa Purchase - Receipt 170476In RICHMOND Date 13 May 2021 Card 462263xxxxxx7746,,-8.99,7757.2,8.99
15/05/2021,MCDONALDS MURRUMBA DO - Visa Purchase - Receipt 170475In MURRUMBA DOW Date 12 May 2021 Card 462263xxxxxx7746,,-14.8,7766.19,14.8
15/05/2021,ALDI STORES - KALLANGU - Visa Purchase - Receipt 170474In KALLANGUR Date 12 May 2021 Card 462263xxxxxx7746,,-54.78,7780.99,54.78
15/05/2021,Woolworths Online - Visa Purchase - Receipt 170473In BELLA VISTA Date 14 May 2021 Card 462263xxxxxx7746,,-33.05,7835.77,33.05
15/05/2021,WOOLWORTHS/1473 ANZAC AVE - Visa Purchase - Receipt 170472In KALLANGUR Date 14 May 2021 Card 462263xxxxxx7746,,-36,7868.82,36
15/05/2021,Internal Transfer - Internal Transfer - Receipt 618149  0806227416,,-100,7904.82,100
13/05/2021,TRANSLINK - Visa Purchase - Receipt 157156In BRISBANE Date 11 May 2021 Card 462263xxxxxx7746,,-20,209.15,20
13/05/2021,Cotton On - Visa Purchase - Receipt 157155In Geelong Date 11 May 2021 Card 462263xxxxxx7495,,-30.98,229.15,30.98
13/05/2021,OXFAM AUSTRALIA Q - Visa Purchase - Receipt 157154In CARLTON Date 11 May 2021 Card 462263xxxxxx7746,,-55,260.13,55
12/05/2021,BRIGHT SHADOW TRADIN - Visa Purchase - Receipt 120982In GRIFFIN Date 08 May 2021 Card 462263xxxxxx7746,,-5.5,315.13,5.5
12/05/2021,BEECHAM HOLDEN & NIS - Visa Purchase - Receipt 120981In CABOOLTURE Date 10 May 2021 Card 462263xxxxxx7746,,-771,320.63,771
12/05/2021,LINKT BRISBANE - Visa Purchase - Receipt 120980In BRISBANE Date 09 May 2021 Card 462263xxxxxx7746,,-25.09,1091.63,25.09
10/05/2021,WOOLWORTHS/1473 ANZAC AVE - Visa Purchase - Receipt 146296In KALLANGUR Date 09 May 2021 Card 462263xxxxxx7746,,-30.69,45.72,30.69
8/05/2021,WOOLWORTHS/WATERFORD DRIV - Visa Purchase - Receipt 174922In NORTH LAKES Date 07 May 2021 Card 462263xxxxxx7746,,-44.64,76.41,44.64
8/05/2021,Ollie's Place - Visa Purchase - Receipt 174921In North Lakes Date 07 May 2021 Card 462263xxxxxx7746,,-113.95,121.05,113.95
8/05/2021,WU 2112688936215166 - Visa Purchase - Receipt 174920In 1800173833 Date 06 May 2021 Card 462263xxxxxx7746,,-60.86,235,60.86
8/05/2021,PAYPAL *LFKINDY - Visa Purchase - Receipt 174919In 4029357733 Date 06 May 2021 Card 462263xxxxxx7746,,-169.96,295.86,169.96
7/05/2021,COSTCO FUEL NORTH LAKE NORTH LAKES - EFTPOS Purchase - Receipt 86914Date 07 May 2021 Time 3:21PM Card 462263xxxxxx7746,,-70.39,465.82,70.39
7/05/2021,COSTCO FUEL NORTH LAKE NORTH LAKES - EFTPOS Purchase - Receipt 86912Date 07 May 2021 Time 3:21PM Card 462263xxxxxx7746,,-80,456.21,80
7/05/2021,Telstra Direct Debit - Visa Purchase - Receipt 110165In AUSTRALIA Date 05 May 2021 Card 462263xxxxxx7746,,-111.62,236.21,111.62
5/05/2021,MCDONALDS KALLANGUR - Visa Purchase - Receipt 148941In KALLANGUR Date 30 Apr 2021 Card 462263xxxxxx7746,,-7.95,347.83,7.95
4/05/2021,Adobe Systems Pty Ltd - Visa Purchase - Receipt 146246In Sydney Date 02 May 2021 Card 462263xxxxxx7746,,-14.29,355.78,14.29
4/05/2021,VALLEYGIRL NORTHALKES - Visa Purchase - Receipt 146245In NORTH LAKES Date 01 May 2021 Card 462263xxxxxx7746,,-25.99,370.07,25.99
3/05/2021,Raiz Maint Fee - Direct Debit - Receipt 142405 2152f5de5f0fc4f916,,-3.5,396.06,3.5
3/05/2021,ALDI STORES - KALLANGU - Visa Purchase - Receipt 143821In KALLANGUR Date 30 Apr 2021 Card 462263xxxxxx7746,,-25.75,399.56,25.75
2/05/2021,ALDI STORES - KALLANGU - Visa Purchase - Receipt 112726In KALLANGUR Date 29 Apr 2021 Card 462263xxxxxx7746,,-37.05,425.31,37.05
1/05/2021,MCDONALDS NORTH LAKES - Visa Purchase - Receipt 160373In NORTH LAKES Date 28 Apr 2021 Card 462263xxxxxx7746,,-4,462.36,4
1/05/2021,BONDS ONLINE - Visa Purchase - Receipt 160372In KEW Date 29 Apr 2021 Card 462263xxxxxx7495,,-32.38,466.36,32.38
1/05/2021,PAYPAL *LFKINDY - Visa Purchase - Receipt 160371In 4029357733 Date 29 Apr 2021 Card 462263xxxxxx7746,,-169.96,498.74,169.96
29/04/2021,Raiz Investment - Direct Debit - Receipt 167237 3b9441630a90841efe,,-20.21,668.7,20.21
29/04/2021,AMZNPRIMEAU MEMBERSHIP - Visa Purchase - Receipt 108642In SYDNEY SOUTH Date 28 Apr 2021 Card 462263xxxxxx7746,,-6.99,623.91,6.99
29/04/2021,UNITYWATER - CABOOLTUR - Visa Purchase - Receipt 108641In CABOOLTURE Date 27 Apr 2021 Card 462263xxxxxx7746,,-411.09,630.9,411.09
28/04/2021,KMART 1228 NORTH LAKES - EFTPOS Purchase - Receipt 166951Date 28 Apr 2021 Time 3:03PM Card 462263xxxxxx7746,,-43,1041.99,43
28/04/2021,IKEA NORTHLAKES NORTH LAKES - EFTPOS Purchase - Receipt 379337Date 28 Apr 2021 Time 2:07PM Card 462263xxxxxx7746,,-8,1084.99,8
28/04/2021,"H  M Hennes  Mauritz Pt - Visa Purchase - Receipt 129961In NSW, Sydney Date 26 Apr 2021 Card 462263xxxxxx7495",,-50.94,1092.99,50.94
28/04/2021,COSTCO FUEL NORTH LAKE - Visa Purchase - Receipt 129960In NORTH LAKES Date 26 Apr 2021 Card 462263xxxxxx7746,,-38.24,1143.93,38.24
27/04/2021,SMP*BLVD Bar Cafe - Visa Purchase - Receipt 100401In North Lakes Date 25 Apr 2021 Card 462263xxxxxx7746,,-58.45,732.17,58.45
26/04/2021,MICROSOFT*EA PLAY 1 MONTH - Visa Purchase - Receipt 187416In MSBILL.INFO Date 24 Apr 2021 Card 462263xxxxxx7746,,-6.99,790.62,6.99
25/04/2021,International Transaction Fee - Receipt 106133,,-1.86,795.75,1.86
25/04/2021,PatPat.com - Visa Purchase - Receipt 106133Foreign Currency Amount:  0In INTERNET Date 23 Apr 2021 Card 462263xxxxxx7746,,-74.46,797.61,74.46
25/04/2021,SP * MAMACLOTHING - Visa Purchase - Receipt 106132In POINT COOK Date 23 Apr 2021 Card 462263xxxxxx7495,,-19.95,872.07,19.95
25/04/2021,BIG W/1 NORTHLAKES DR - Visa Purchase - Receipt 106131In NORTHLAKES Date 24 Apr 2021 Card 462263xxxxxx7746,,-60,892.02,60
25/04/2021,WOOLWORTHS ONLINE 8843 - Visa Purchase - Receipt 106130In BELLA VISTA Date 23 Apr 2021 Card 462263xxxxxx7746,,-49.43,952.02,49.43
24/04/2021,Audible Australia - Visa Purchase - Receipt 179979In MELBOURNE Date 22 Apr 2021 Card 462263xxxxxx7746,,-16.45,801.45,16.45
24/04/2021,PAYPAL *LFKINDY - Visa Purchase - Receipt 179978In 4029357733 Date 22 Apr 2021 Card 462263xxxxxx7746,,-169.96,817.9,169.96
24/04/2021,PAYPAL *TATTSONLINE - Visa Purchase - Receipt 179977In 4029357733 Date 22 Apr 2021 Card 462263xxxxxx7746,,-54.3,987.86,54.3
23/04/2021,INDIAN SPICE SHOP      AS PLEY       Q - EFTPOS Purchase - Receipt 3074Date 23 Apr 2021 Time 2:57PM Card 462263xxxxxx7746,,-94.02,1042.16,94.02
23/04/2021,LIVING FAITH LTHRN PS - Visa Purchase - Receipt 108728In MILTON Date 20 Apr 2021 Card 462263xxxxxx7746,,-300,1136.18,300
22/04/2021,ASHAPURI PTY LTD - Visa Purchase - Receipt 164666In GRIFFIN Date 20 Apr 2021 Card 462263xxxxxx7746,,-22.4,1436.18,22.4
22/04/2021,MSFT *<E0400E2HY3> - Visa Purchase - Receipt 164665In MSFT AZURE Date 20 Apr 2021 Card 462263xxxxxx7746,,-3.22,1458.58,3.22
21/04/2021,TRANSLINK - Visa Purchase - Receipt 155945In BRISBANE Date 19 Apr 2021 Card 462263xxxxxx7746,,-20,1461.8,20
21/04/2021,ALDI STORES - NORTH LA - Visa Purchase - Receipt 155944In NORTH LAKES Date 18 Apr 2021 Card 462263xxxxxx7746,,-56.13,1481.8,56.13
20/04/2021,Raiz Investment - Direct Debit - Receipt 113200 cd1427d907db04bb3b,,-26.63,1537.93,26.63
20/04/2021,International Transaction Fee - Receipt 176858,,-0.91,1563.65,0.91
20/04/2021,GoFndMe* Help Christa com - Visa Purchase - Receipt 176858Foreign Currency Amount: USD 28.13In Redwood City Date 18 Apr 2021 Card 462263xxxxxx7495,,-36.43,1564.56,36.43
20/04/2021,SP * PEACHYMAMA - Visa Purchase - Receipt 176857In ELWOOD Date 18 Apr 2021 Card 462263xxxxxx7495,,-59,1600.99,59
20/04/2021,NETFLIX.COM - Visa Purchase - Receipt 176856In Melbourne Date 18 Apr 2021 Card 462263xxxxxx7746,,-15.99,1659.99,15.99
20/04/2021,CALAMARI FROM SQUID - Visa Purchase - Receipt 176855In SCARBOROUGH Date 18 Apr 2021 Card 462263xxxxxx7746,,-96.03,1675.98,96.03
19/04/2021,LEASE PAY - Direct Debit - Receipt 104571 001-1347737-001,,-861,1772.01,861
19/04/2021,International Transaction Fee - Receipt 190670,,-0.67,2632.34,0.67
19/04/2021,DNH*GODADDY.COM AUSTRALIA - Visa Purchase - Receipt 190670Foreign Currency Amount:  0In 480-5058855 Date 17 Apr 2021 Card 462263xxxxxx7746,,-26.62,2633.01,26.62
19/04/2021,BWS 2482 - Visa Purchase - Receipt 190669In GRIFFIN Date 17 Apr 2021 Card 462263xxxxxx7746,,-69,2659.63,69
19/04/2021,WU 2110780185780024 - Visa Purchase - Receipt 190668In 1800173833 Date 17 Apr 2021 Card 462263xxxxxx7746,,-302.9,2728.63,302.9
19/04/2021,PAYPAL *MEDELAAUSTR - Visa Purchase - Receipt 190667In 4029357733 Date 17 Apr 2021 Card 462263xxxxxx7746,,-48.4,3031.53,48.4
19/04/2021,UBER   *EATS - Visa Purchase - Receipt 190666In SYDNEY Date 17 Apr 2021 Card 462263xxxxxx7746,,-61.79,3079.93,61.79
18/04/2021,COLES 4545 NORTH LAKE - EFTPOS Purchase - Receipt 489256Date 18 Apr 2021 Time 4:24PM Card 462263xxxxxx7746,,-56.53,3141.72,56.53
18/04/2021,JB HOME NORTH LAKES NORTH LAKES - EFTPOS Purchase - Receipt 66856Date 18 Apr 2021 Time 3:57PM Card 462263xxxxxx7746,,-279,3198.25,279
18/04/2021,SQ *GATEAU & CO        Sc arborough - EFTPOS Purchase - Receipt 832079Date 18 Apr 2021 Time 10:43AM Card 462263xxxxxx7746,,-10,3477.25,10
18/04/2021,TRRYWHT CHM MURRUMB - Visa Purchase - Receipt 160554In MURRUMBA DOW Date 15 Apr 2021 Card 462263xxxxxx7746,,-27.15,3487.25,27.15
